Type,Coordinates,Lat,Lon
Little Free Library,"41.9516472,-71.9561722",41.9516472,-71.9561722
Little Free Library,"41.6025,-72.87762",41.6025,-72.87762
Little Free Library,"41.18709,-73.24138",41.18709,-73.24138
Little Free Library,"41.44399,-71.98402",41.44399,-71.98402
Little Free Library,"41.67693329,-72.7716217",41.67693329,-72.7716217
Little Free Library,"41.67693329,-72.7716217",41.67693329,-72.7716217
Little Free Library,"41.67693329,-72.7716217",41.67693329,-72.7716217
Little Free Library,"41.67693329,-72.7716217",41.67693329,-72.7716217
Little Free Library,"41.08638,-73.42945",41.08638,-73.42945
Little Free Library,"41.11502,-73.56804",41.11502,-73.56804
Little Free Library,"41.84307,-72.66",41.84307,-72.66
Little Free Library,"41.32611,-71.98861",41.32611,-71.98861
Little Free Library,"41.0835,-73.52672",41.0835,-73.52672
Little Free Library,"41.0835,-73.52672",41.0835,-73.52672
Little Free Library,"41.99627,-72.4857",41.99627,-72.4857
Little Free Library,"41.99627,-72.4857",41.99627,-72.4857
Little Free Library,"41.77614,-72.70428",41.77614,-72.70428
Little Free Library,"41.36227,-72.90064",41.36227,-72.90064
Little Free Library,"41.36227,-72.90064",41.36227,-72.90064
Little Free Library,"41.5456271,-72.775621",41.5456271,-72.775621
Little Free Library,"41.5456271,-72.775621",41.5456271,-72.775621
Little Free Library,"41.56596,-72.78786",41.56596,-72.78786
Little Free Library,"41.56596,-72.78786",41.56596,-72.78786
Little Free Library,"41.5462049,-72.8132793",41.5462049,-72.8132793
Little Free Library,"41.5462049,-72.8132793",41.5462049,-72.8132793
Little Free Library,"41.54545,-72.7919",41.54545,-72.7919
Little Free Library,"41.54545,-72.7919",41.54545,-72.7919
Little Free Library,"41.53923,-72.80167",41.53923,-72.80167
Little Free Library,"41.53923,-72.80167",41.53923,-72.80167
Little Free Library,"41.5352,-72.80087",41.5352,-72.80087
Little Free Library,"41.51196,-72.75497",41.51196,-72.75497
Little Free Library,"41.51196,-72.75497",41.51196,-72.75497
Little Free Library,"41.56041,-72.76591",41.56041,-72.76591
Little Free Library,"41.56041,-72.76591",41.56041,-72.76591
Little Free Library,"41.5496,-72.83548",41.5496,-72.83548
Little Free Library,"41.5496,-72.83548",41.5496,-72.83548
Little Free Library,"41.5139548,-72.8346146",41.5139548,-72.8346146
Little Free Library,"41.5139548,-72.8346146",41.5139548,-72.8346146
Little Free Library,"41.53287,-72.75785",41.53287,-72.75785
Little Free Library,"41.53287,-72.75785",41.53287,-72.75785
Little Free Library,"41.5361865,-72.7939155",41.5361865,-72.7939155
Little Free Library,"41.5361865,-72.7939155",41.5361865,-72.7939155
Little Free Library,"41.5407695,-72.7979551",41.5407695,-72.7979551
Little Free Library,"41.5407695,-72.7979551",41.5407695,-72.7979551
Little Free Library,"41.50623,-72.77209",41.50623,-72.77209
Little Free Library,"41.50623,-72.77209",41.50623,-72.77209
Little Free Library,"41.3629,-72.90598",41.3629,-72.90598
Little Free Library,"41.74265,-73.21041",41.74265,-73.21041
Little Free Library,"41.1213,-73.4371",41.1213,-73.4371
Little Free Library,"41.3584814,-72.1041905",41.3584814,-72.1041905
Little Free Library,"41.3584814,-72.1041905",41.3584814,-72.1041905
Little Free Library,"41.3665246,-73.4233888",41.3665246,-73.4233888
Little Free Library,"41.68985,-72.56826",41.68985,-72.56826
Little Free Library,"41.67682,-72.77125",41.67682,-72.77125
Little Free Library,"41.67682,-72.77125",41.67682,-72.77125
Little Free Library,"41.17699,-73.25413",41.17699,-73.25413
Little Free Library,"41.5355418,-73.4138823",41.5355418,-73.4138823
Little Free Library,"41.42916,-72.82385",41.42916,-72.82385
Little Free Library,"41.59886,-72.65543",41.59886,-72.65543
Little Free Library,"41.66572,-72.6389",41.66572,-72.6389
Little Free Library,"41.66572,-72.6389",41.66572,-72.6389
Little Free Library,"41.12328,-73.38814",41.12328,-73.38814
